datetime,elec_value
2021-03-22 00:00:00,390.693
2021-03-22 01:00:00,371.1
2021-03-22 02:00:00,368.93
2021-03-22 03:00:00,375.564
2021-03-22 04:00:00,365.908
2021-03-22 05:00:00,370.582
2021-03-22 06:00:00,351.878
2021-03-22 07:00:00,330.942
2021-03-22 08:00:00,328.562
2021-03-22 09:00:00,337.486
2021-03-22 10:00:00,340.665
2021-03-22 11:00:00,350.593
2021-03-22 12:00:00,329.895
2021-03-22 13:00:00,341.927
2021-03-22 14:00:00,340.253
2021-03-22 15:00:00,337.276
2021-03-22 16:00:00,339.746
2021-03-22 17:00:00,353.23
2021-03-22 18:00:00,339.324
2021-03-22 19:00:00,354.987
2021-03-22 20:00:00,364.752
2021-03-22 21:00:00,365.302
2021-03-22 22:00:00,355.982
2021-03-22 23:00:00,361.398
2021-03-23 00:00:00,355.822
2021-03-23 01:00:00,360.83
2021-03-23 02:00:00,365.97
2021-03-23 03:00:00,369.016
2021-03-23 04:00:00,360.767
2021-03-23 05:00:00,371.621
2021-03-23 06:00:00,350.371
2021-03-23 07:00:00,335.224
2021-03-23 08:00:00,320.344
2021-03-23 09:00:00,335.637
2021-03-23 10:00:00,334.933
2021-03-23 11:00:00,340.776
2021-03-23 12:00:00,335.211
2021-03-23 13:00:00,345.533
2021-03-23 14:00:00,340.959
2021-03-23 15:00:00,349.557
2021-03-23 16:00:00,363.554
2021-03-23 17:00:00,371.415
2021-03-23 18:00:00,372.21
2021-03-23 19:00:00,355.594
2021-03-23 20:00:00,363.944
2021-03-23 21:00:00,360.399
2021-03-23 22:00:00,361.649
2021-03-23 23:00:00,361.218
2021-03-24 00:00:00,359.384
2021-03-24 01:00:00,367.995
2021-03-24 02:00:00,365.567
2021-03-24 03:00:00,367.968
2021-03-24 04:00:00,359.538
2021-03-24 05:00:00,367.372
2021-03-24 06:00:00,360.055
2021-03-24 07:00:00,327.746
2021-03-24 08:00:00,326.625
2021-03-24 09:00:00,333.594
2021-03-24 10:00:00,339.94
2021-03-24 11:00:00,349.999
2021-03-24 12:00:00,334.763
2021-03-24 13:00:00,348.401
2021-03-24 14:00:00,342.812
2021-03-24 15:00:00,341.553
2021-03-24 16:00:00,360.879
2021-03-24 17:00:00,382.388
2021-03-24 18:00:00,359.58
2021-03-24 19:00:00,357.465
2021-03-24 20:00:00,367.73
2021-03-24 21:00:00,362.429
2021-03-24 22:00:00,361.838
2021-03-24 23:00:00,358.89
2021-03-25 00:00:00,354.417
2021-03-25 01:00:00,366.605
2021-03-25 02:00:00,363.837
2021-03-25 03:00:00,363.324
2021-03-25 04:00:00,364.918
2021-03-25 05:00:00,364.536
2021-03-25 06:00:00,345.205
2021-03-25 07:00:00,317.542
2021-03-25 08:00:00,317.577
2021-03-25 09:00:00,327.292
2021-03-25 10:00:00,336.824
2021-03-25 11:00:00,338.777
2021-03-25 12:00:00,337.474
2021-03-25 13:00:00,352.062
2021-03-25 14:00:00,354.218
2021-03-25 15:00:00,357.37
2021-03-25 16:00:00,369.747
2021-03-25 17:00:00,371.935
2021-03-25 18:00:00,356.615
2021-03-25 19:00:00,343.867
2021-03-25 20:00:00,355.537
2021-03-25 21:00:00,360.192
2021-03-25 22:00:00,357.774
2021-03-25 23:00:00,368.181
2021-03-26 00:00:00,363.038
2021-03-26 01:00:00,365.8
2021-03-26 02:00:00,366.201
2021-03-26 03:00:00,371.837
2021-03-26 04:00:00,370.163
2021-03-26 05:00:00,382.068
2021-03-26 06:00:00,363.956
2021-03-26 07:00:00,340.938
2021-03-26 08:00:00,332.476
2021-03-26 09:00:00,349.11
2021-03-26 10:00:00,351.501
2021-03-26 11:00:00,368.633
2021-03-26 12:00:00,350.04
2021-03-26 13:00:00,362.11
2021-03-26 14:00:00,351.853
2021-03-26 15:00:00,351.752
2021-03-26 16:00:00,374.413
2021-03-26 17:00:00,374.501
2021-03-26 18:00:00,365.539
2021-03-26 19:00:00,365.096
2021-03-26 20:00:00,370.651
2021-03-26 21:00:00,379.583
2021-03-26 22:00:00,370.678
2021-03-26 23:00:00,375.514
2021-03-27 00:00:00,381.642
2021-03-27 01:00:00,387.825
2021-03-27 02:00:00,385.296
2021-03-27 03:00:00,386.659
2021-03-27 04:00:00,386.069
2021-03-27 05:00:00,384.6
2021-03-27 06:00:00,375.868
2021-03-27 07:00:00,345.579
2021-03-27 08:00:00,331.746
2021-03-27 09:00:00,341.518
2021-03-27 10:00:00,335.708
2021-03-27 11:00:00,346.887
2021-03-27 12:00:00,324.124
2021-03-27 13:00:00,337.031
2021-03-27 14:00:00,352.83
2021-03-27 15:00:00,360.018
2021-03-27 16:00:00,358.708
2021-03-27 17:00:00,370.249
2021-03-27 18:00:00,355.114
2021-03-27 19:00:00,351.574
2021-03-27 20:00:00,368.595
2021-03-27 21:00:00,364.094
2021-03-27 22:00:00,355.957
2021-03-27 23:00:00,371.672
2021-03-28 00:00:00,366.209
2021-03-28 01:00:00,371.455
2021-03-28 02:00:00,368.21
2021-03-28 03:00:00,376.555
2021-03-28 04:00:00,360.273
2021-03-28 05:00:00,359.411
2021-03-28 06:00:00,341.705
2021-03-28 07:00:00,316.932
2021-03-28 08:00:00,305.62
2021-03-28 09:00:00,305.695
2021-03-28 10:00:00,304.576
2021-03-28 11:00:00,317.268
2021-03-28 12:00:00,302.928
2021-03-28 13:00:00,328.694
2021-03-28 14:00:00,333.286
2021-03-28 15:00:00,339.878
2021-03-28 16:00:00,349.798
2021-03-28 17:00:00,356.822
2021-03-28 18:00:00,343.086
2021-03-28 19:00:00,330.75
2021-03-28 20:00:00,348.221
2021-03-28 21:00:00,358.307
2021-03-28 22:00:00,357.828
2021-03-28 23:00:00,362.183
2021-03-29 00:00:00,366.209
2021-03-29 01:00:00,371.455
2021-03-29 02:00:00,368.21
2021-03-29 03:00:00,376.555
2021-03-29 04:00:00,360.273
2021-03-29 05:00:00,359.411
2021-03-29 06:00:00,341.705
2021-03-29 07:00:00,316.932
2021-03-29 08:00:00,305.62
2021-03-29 09:00:00,305.695
2021-03-29 10:00:00,304.576
2021-03-29 11:00:00,317.268
2021-03-29 12:00:00,302.928
2021-03-29 13:00:00,328.694
2021-03-29 14:00:00,333.286
2021-03-29 15:00:00,339.878
2021-03-29 16:00:00,349.798
2021-03-29 17:00:00,356.822
2021-03-29 18:00:00,343.086
2021-03-29 19:00:00,330.75
2021-03-29 20:00:00,348.221
2021-03-29 21:00:00,358.307
2021-03-29 22:00:00,357.828
2021-03-29 23:00:00,362.183
2021-03-30 00:00:00,366.981
2021-03-30 01:00:00,368.752
2021-03-30 02:00:00,378.771
2021-03-30 03:00:00,376.273
2021-03-30 04:00:00,374.94
2021-03-30 05:00:00,377.582
2021-03-30 06:00:00,371.84
2021-03-30 07:00:00,334.065
2021-03-30 08:00:00,331.075
2021-03-30 09:00:00,349.367
2021-03-30 10:00:00,353.94
2021-03-30 11:00:00,349.639
2021-03-30 12:00:00,350.433
2021-03-30 13:00:00,357.353
2021-03-30 14:00:00,369.813
2021-03-30 15:00:00,356.137
2021-03-30 16:00:00,381.303
2021-03-30 17:00:00,384.433
2021-03-30 18:00:00,385.738
2021-03-30 19:00:00,381.267
2021-03-30 20:00:00,396.899
2021-03-30 21:00:00,392.19
2021-03-30 22:00:00,387.57
2021-03-30 23:00:00,369.892
2021-03-31 00:00:00,364.431
2021-03-31 01:00:00,356.873
2021-03-31 02:00:00,363.989
2021-03-31 03:00:00,363.737
